DATE,RELEASE_STAGE,DIRECTOR_VERSION,CF_RELEASE_COMMIT_SHA,CF_DEPLOYMENT_STEMCELL,DIEGO_RELEASE_VERSION,DIEGO_RELEASE_COMMIT_SHA,DIEGO_DEPLOYMENT_STEMCELL
Fri Apr 24 20:14:26 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1144.0,fe16aacd,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 20:29:52 UTC 2015,development,1.2891.0,fc26ee26,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1145.0,f27a7c90,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 20:41:04 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1145.0,f27a7c90,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 20:52:51 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1145.0,f27a7c90,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 21:04:03 UTC 2015,development,1.2891.0,fc26ee26,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1146.0,8c855e02,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 21:16:02 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1146.0,8c855e02,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 21:30:38 UTC 2015,development,1.2891.0,fc26ee26,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1147.0,6bc903e6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 21:41:22 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1147.0,6bc903e6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 21:50:43 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1147.0,6bc903e6,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 22:04:59 UTC 2015,development,1.2891.0,fc26ee26,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1148.0,7a30e365,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 22:31:44 UTC 2015,development,1.2891.0,fc26ee26,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1149.0,92196d51,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 22:46:10 UTC 2015,release_candidate,1.2859.0,de3daacf,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2922,0.1149.0,92196d51,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 23:04:22 UTC 2015,development,1.2891.0,fc26ee26,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1150.0,894dfaa4,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
Fri Apr 24 23:31:58 UTC 2015,development,1.2891.0,fc26ee26,bosh-aws-xen-ubuntu-trusty-go_agent/2915,0.1151.0,167be961,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/2941
