date,cf-release-commit-sha,diego-release-version,garden-linux-release-version,etcd-release-version,cflinuxfs2-rootfs-release-version,bosh-lite-commit-sha,aws-stemcell,bosh-lite-stemcell,vsphere-stemcell,aws-director-version,bosh-lite-director-version,vsphere-director-version,aws-acceptance-tests-build-url,bosh-lite-acceptance-tests-build-url,vsphere-acceptance-tests-build-url
2016-08-20T04:53:35Z,feec4d06f45658a500ec84055ab8efe5b529ccbf,0.1482.0,0.342.0,65,1.26.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/67,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/186,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/45
2016-08-23T17:03:04Z,feec4d06f45658a500ec84055ab8efe5b529ccbf,0.1483.0,0.342.0,65,1.26.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/69,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/187,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/46
2016-08-25T17:26:35Z,638c22f9eae6727df7d78fb44bb3348a9b5d7967,0.1483.0,0.342.0,66,1.27.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/80,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/197,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/55
2016-08-26T02:44:59Z,f178969bc8103befb9cf057408de4b466ac24999,0.1483.0,0.342.0,66,1.27.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/85,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/198,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/56
2016-08-26T04:59:38Z,fb11e51e7dcd2516eca49ba0aaced0d94c6574a9,0.1483.0,0.342.0,66,1.27.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/86,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/199,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/57
2016-08-26T05:52:27Z,0ee872f6642c039514809ba6212056037750ba87,0.1483.0,0.342.0,66,1.27.0,88dc9bd1dbc97261e73b3605e8890f9913851b0c,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/87,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/200,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/58
2016-08-29T20:32:21Z,aeae7c7d3d020668eae01273ca8462d40d1a5ee2,0.1484.0,0.342.0,66,1.27.0,8be68a05d2221057314982797e55b29611c3bc4e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/91,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/204,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/61
2016-08-30T09:40:42Z,1667c986ccee7a2988fb6a9b33148ec106b5bd91,0.1484.0,0.342.0,66,1.27.0,8be68a05d2221057314982797e55b29611c3bc4e,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/95,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/206,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/63
2016-09-03T00:34:02Z,b2d843654f2fb300732c30bf28af42b819078ddc,0.1484.0,0.342.0,66,1.27.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.9,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.9,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/109,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/218,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/66
2016-09-06T21:05:41Z,c7f10010d03837f392330674f1ebabb47a2771a9,0.1484.0,0.342.0,66,1.28.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.9,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.9,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/111,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/220,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/67
2016-09-07T05:09:41Z,136e701278a69a2683ac3bc5a61aedcb17ce6252,0.1484.0,0.342.0,66,1.28.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.9,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.9,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/114,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/223,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/68
2016-09-08T22:20:12Z,a134ceb295ffa8747e6fcf44f898c0eac601353a,0.1484.0,0.342.0,67,1.28.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.9,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.9,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/116,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/226,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/70
2016-09-09T18:13:00Z,e2cc590a614544e83b297151461880e53fb429ad,0.1484.0,0.342.0,67,1.28.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.12,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.12,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/117,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/228,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/71
2016-09-13T00:07:06Z,bd6fa28b15a9118d9954e40f3d2af5603a16ac11,0.1485.0,0.342.0,67,1.29.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3262.12,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3262.12,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/119,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/235,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/76
